Tenista,fecha_evaluacion,fecha_nacimiento,Genero,abdominales_60s,lagartijas,wells1,wells2,hombros1,hombros2,reaccion1_tiempo_seg,reaccion2_tiempo_seg,aceleracion1_tiempo_seg,aceleracion2_tiempo_seg,cmj_tiempo1_seg,cmj_altura1_pulg,cmj_tiempo2_seg,cmj_altura2_pulg,sj_tiempo1_seg,sj_altura1_pulg,sj_tiempo2_seg,sj_altura2_pulg,dj_tiempo1_seg,dj_altura1_pulg,dj_tiempo2_seg,dj_altura2_pulg,tiempo_tierrau15_seg,indice_potencia_explosiva_u15,xsal_u15_pulg,tiempo_tierrap15_seg,indice_potencia_explosiva_p15,xsal_p15_pulg,factor_fatiga,Desempeno
1,25/03/2014,27/05/2000,F,44,4,+9,+10,+7,+7,"0,41","0,32","2,07","1,71","0,54",14,"0,57","15,9","0,53","13,6","0,55","14,6","0,53","13,7","0,48","11,1","0,38","1,2","10,3","0,41","1,19","11,4","1,0",0
3,25/03/2014,8/02/1999,M,54,26,-4,+1,+9,+9,"0,26","0,35","1,89","1,73","0,64","19,7","0,62","18,9","0,62","18,9","0,61","18,5","0,62","18,8","0,57","15,9","0,27","1,74","10,9","0,36","1,42","12,9","1,22",0
4,18/02/2015,13/06/1997,M,52,30,11,12,0,0,"0,23","0,27","1,76","1,73","0,6","17,3",",61","17,9","0,58","16,7","0,59","17,3","0,58","16,7","0,60","17,7","0,25","17,5","9,4","0,26","1,84","11,1","0,95",1
5,18/03/2015,23/01/1991,M,76,43,+22,+23,0,0,"0,28","0,23","1,62","1,63","0,69","23,2","0,70","23,6","0,68","22,8","0,68","22,8","0,67","21,9","0,67","22,0","0,35","1,47","12,9","0,37","1,63","18,0","0,9",2
7,26/03/2014,15/06/1996,M,56,25,+10,+10,0,0,"0,35","0,19","1,80","1,63","0,64","20,3","0,68","22,8","0,69","23,6","0,68","22,4","0,66","21,3","0,62","19,0","0,29","1,63","10,7","0,30","1,72","13,3","0,94",1
8,25/03/2014,9/08/2000,M,58,24,-6,-12,+10,+10,"0,35","0,24","1,73","1,73","0,52","13,1","0,49","11,9","0,48","11,5","0,49",12,"0,50","12,4","0,54","14,1","0,37","1,19","9,3","0,35","1,24","8,9","0,95",0
9,27/03/2014,15/06/1996,M,32,39,-22,-20,1,0,"0,25","0,22","1,66","1,44","0,68","22,5","0,64","20,2","0,62","18,9","0,64","19,8","0,63","19,1","0,66","21,0","0,27","1,88","12,5","0,28","1,77","11,7","1,06",0
10,27/02/2015,26/03/1995,M,43,18,+20,+19,0,0,"0,265","0,315","1,785","1,895","0,66","21,2","0,63","19,4","0,645","20,1","0,61",18,"0,62","18,9","0,6","17,9","0,40","1,32","13,3","0,32","1,62",13,"0,81",0
11,25/03/2014,30/10/1994,M,53,41,+3,+6,0,+6,"0,24","0,21","1,69","1,53","0,62","1,89","0,66","21,1","0,57","15,9","0,54","14,5","0,63","19,2","0,63","19,6","0,24","2,3",14,"0,24","2,32","15,8","0,96",0
12,27/03/2014,15/09/1994,M,38,6,-12,-1,,,"0,29","0,35","1,76","1,77","0,53","13,6","0,52","13,4","0,49","11,8","0,54","14,4","0,57","16,0","0,57","16,0","0,26","1,80","11,1","0,26","1,93","12,2","0,93",0
13,25/03/2014,18/05/2000,F,24,10,-15,-11,+10,+9,"0,30","0,25","1,62","1,65","0,52","13,0","0,52","13,0","0,54","14,3","0,52","13,2","0,54","14,2","0,54","14,5","0,28","1,59","10,0","0,28","1,67","10,8","0,95",0
14,13/05/2004,28/07/1993,M,43,11,-12,-5,"+0,5","+1,5","0,35","0,40","1,77","1,78","0,57","15,8","0,57","16,1","0,58","16,4","0,58","16,5","0,54","14,1","0,60","17,4","0,24","1,83","9,1","0,24","1,91","10,5","0,95",1
16,18/02/2015,18/10/1993,M,52,27,+11,+10,0,0,"0,31","0,33","1,76","1,38","0,67","22,0","0,67","21,2",",65","20,8","0,66","21,4","0,65","20,4","0,65","20,7","0,32","1,56",12,"0,23","1,79","8,60","0,87",1
17,18/02/2015,18/10/1993,M,52,27,0,0,0,0,"0,31","0,33","1,76","1,38","0,67","22,0","0,67","21,2",",65","20,8","0,66","21,4","0,65","20,4","0,65","20,7","0,32","1,56",12,"0,23","1,79","8,60","0,87",0
