Tenista,Genero,fecha_evaluacion,fecha_nacimiento,masa_kg,estatura_cm,envergadura_cm,longitud_pie_cm,triceps_mm,subescapular_mm,biceps_mm,cresta_iliaca_mm,supraespinal_mm,abdominal_mm,muslo_fron_abc_mm,pantorrilla_medial_mm,cefalico_cm,brazo_relajado_cm,brazo_contraido_90_cm,antebrazo_cm,muneca_cm,torax_mesoesternal_cm,cintura_cm,cadera_max_cm,muslo_1cm_cm,muslo_medio_cm,pantorrilla_maxima_cm,tobillo_minimo_cm,biacromial_cm,biiliocrestal_cm,biestiloideo_cm,humero_cm,femur_rodilla_cm,Desempeño
1,F,25/03/2014,27/05/2000,"65,5","166,8",167,"25,1","16,8",11,"7,6","25,6","16,8","19,8","20,8",16,55,"26,5","27,7","24,4","16,1","85,1","71,7","95,9","59,6","54,7","39,7","25,2",35,"28,1","5,7","6,6","9,7",0
2,M,18/02/2015,21/12/1991,"62,7","170,5","168,0",0,"7,7","9,5","3,6","25,7","9,5","21,4","9,1","5,8","35,2","28,7","31,1","26,1","16,0","94,0","75,7","90,3","54,8","49,2","36,7","21,5","38,3","25,6","5,2","6,5","9,6",0
3,M,25/03/2014,8/02/1999,"64,2",179,"182,2",26,"6,8","7,4","3,2","7,6","5,6","8,2","8,2","5,2","54,1","28,2","30,6","27,4","18,2","88,7","73,2","90,9","52,4","48,9","36,1","21,1",41,"26,3","5,7","7,2","9,7",0
4,M,18/02/2015,13/06/1997,"63,8","167,3","171,8",0,"13,7","9,8","4,2","33,3","13,5","22,5","15,3","14,2","54,5","29,2","33,1","24,8","15,8","93,8","75,0","94,0","57,0","55,4","34,5","21,0","40,3","27,7","5,5","7,1","9,5",1
5,M,18/03/2015,23/01/1991,85,177,"178,4",0,"15,2","12,2","5,6","16,4","15,6","4,3","14,3","7,7","59,5",35,38,28,18,99,90,107,65,51,41,26,0,0,0,0,0,2
8,M,25/03/2014,9/08/2000,"54,5","164,2",165,"25,6","8,8","11,6","5,4","15,2","11,2","14,6","10,8","11,4","56,7","23,4","25,4","23,4",16,"84,2","71,6","87,1",51,"46,4","33,7",21,"34,9","27,8","5,3","6,5","9,7",0
10,M,27/02/2015,26/03/1995,"77,5","171,1","178,5",0,"13,9","12,4","7,2",34,"16,1","27,3","16,6","15,2","55,7","34,3","33,5","28,5","17,2",94,"85,8","103,1","62,1","55,9","39,7","22,4","41,2","29,5","5,1","7,7",10,0
11,M,25/03/2014,30/10/1994,"65,5","177,8","180,4","25,1","6,6","7,2","3,2","13,2","4,8",7,9,"5,6","56,1",30,"31,6","25,8",16,"90,8","73,6","90,3","51,2","47,8","36,5","21,5","40,8","28,4",5,"7,1","9,5",0
12,M,27/03/2014,15/09/1994,"54,4","179,2","182,8","26,3","8,6","6,5","3,3",6,"4,1",8,"8,9",7,"54,1","23,2","25,1","23,9","15,4","81,6","67,2","82,6",45,"44,2",35,"21,5","37,2","28,3","5,1","6,9","9,4",0
13,F,25/03/2014,18/05/2000,"48,6",158,"155,2","22,6","18,8","12,4","6,8","31,8",17,"18,8",20,"9,8","54,5","24,2","25,4",23,"14,4","83,9",71,"90,2","50,3","45,9","32,2","20,2","32,4","26,5",5,"5,5","8,9",0
14,F,13/05/2004,28/07/1993,"51,6","158,5","155,5","23,4","15,2",8,"6,6","14,2","8,6","15,4",18,11,"52,8","24,6","25,6","23,4","14,6","82,7","67,2","90,5","53,5",0,"48,4","21,2","35,5","26,3","4,5",6,"8,3",1
15,F,27/02/2015,6/05/2002,0,0,0,0,"13,2","6,2","7,8",15,"9,8","14,8","19,2","15,6","54,6","22,2",23,"20,9","13,9","74,6","61,5","80,9","45,2","40,4","29,6",20,0,0,0,0,0,0
16,M,18/02/2015,18/10/1993,"55,4","166,4","164,3",0,10,"7,6","4,2","14,2","5,1","13,4","9,7","6,2","54,2",29,"30,3","23,7","16,0","89,6","71,2","86,3","51,3","47,8","33,8","21,7","36,6","24,5","4,7","6,3","9,1",1
17,M,18/02/2015,18/10/1993,"55,4","166,4","164,3",0,10,"7,6","4,2","14,2","5,1","13,4","9,7","6,2","54,2",29,"30,3","23,7","16,0","89,6","71,2","86,3","51,3","47,8","33,8","21,7","36,6","24,5","4,7","6,3","9,1",0
18,M,,29/12/2000,"52,2","165,3","161,4","25,4","9,2",6,4,"9,8","5,4",8,"14,2","10,8","56,7","25,1","27,3","23,6","15,7","80,6","73,2","82,6","48,7","44,8","33,4","20,5","34,1","25,8","5,4","6,7","9,8",
19,M,,21/5/1997,"79,9",183,"187,3","28,7",7,"10,4","3,2","11,8","6,1","8,3","8,2",7,"54,7","30,4","32,7","28,7","17,1","102,2","84,6","99,8","58,4","54,7","36,7","21,7","43,1","29,7","5,8","7,4","10,1",
